Run directory: /Users/zyp/Documents/GitHub/PINN-seagras/myproject/runs/pinn_drag/20260722-134051__iterative_self_training
Experimental data: /Users/zyp/Documents/GitHub/PINN-seagras/myproject/data/pinn_training_data.mat
cycle=05 epoch=1600/2000 train_force=0.0011983 val_force=0.026031
cycle=05 epoch=1800/2000 train_force=0.0011796 val_force=0.025994
cycle=05 epoch=2000/2000 train_force=0.0011574 val_force=0.026235
Saved latent CSV: /Users/zyp/Documents/GitHub/PINN-seagras/myproject/runs/pinn_drag/20260722-134051__iterative_self_training/cycle_05_posttrain/latent_predictions.csv
Cycle 5 rolled back: validation RMSE=0.0640139 > allowed 0.0638931

Starting post-training cycle 6/8
Candidates: pool=320, filter_pass=310, selected=80
cycle=06 epoch=0001/2000 train_force=0.10124 val_force=0.030939
cycle=06 epoch=0200/2000 train_force=0.0022129 val_force=0.020736
cycle=06 epoch=0400/2000 train_force=0.0014045 val_force=0.020956
cycle=06 epoch=0600/2000 train_force=0.0011219 val_force=0.023255
cycle=06 epoch=0800/2000 train_force=0.0010314 val_force=0.023363
cycle=06 epoch=1000/2000 train_force=0.00094598 val_force=0.023831
cycle=06 epoch=1200/2000 train_force=0.00092539 val_force=0.023894
cycle=06 epoch=1400/2000 train_force=0.00091332 val_force=0.023923
cycle=06 epoch=1600/2000 train_force=0.00089947 val_force=0.023921
cycle=06 epoch=1800/2000 train_force=0.00089213 val_force=0.023986
cycle=06 epoch=2000/2000 train_force=0.00086493 val_force=0.024034
Saved latent CSV: /Users/zyp/Documents/GitHub/PINN-seagras/myproject/runs/pinn_drag/20260722-134051__iterative_self_training/cycle_06_posttrain/latent_predictions.csv
Cycle 6 accepted: validation RMSE=0.0625074

Starting post-training cycle 7/8
Candidates: pool=320, filter_pass=307, selected=80
cycle=07 epoch=0001/2000 train_force=0.035443 val_force=0.026315
cycle=07 epoch=0200/2000 train_force=0.0019944 val_force=0.030141
cycle=07 epoch=0400/2000 train_force=0.0013658 val_force=0.019283
cycle=07 epoch=0600/2000 train_force=0.00083267 val_force=0.02164
cycle=07 epoch=0800/2000 train_force=0.00074123 val_force=0.022097
cycle=07 epoch=1000/2000 train_force=0.0006677 val_force=0.022072
cycle=07 epoch=1200/2000 train_force=0.00064885 val_force=0.022002
cycle=07 epoch=1400/2000 train_force=0.00063776 val_force=0.021962
cycle=07 epoch=1600/2000 train_force=0.00062927 val_force=0.021907
cycle=07 epoch=1800/2000 train_force=0.00062081 val_force=0.021895
cycle=07 epoch=2000/2000 train_force=0.00060986 val_force=0.021879
Saved latent CSV: /Users/zyp/Documents/GitHub/PINN-seagras/myproject/runs/pinn_drag/20260722-134051__iterative_self_training/cycle_07_posttrain/latent_predictions.csv
Cycle 7 accepted: validation RMSE=0.0624117

Starting post-training cycle 8/8
Candidates: pool=320, filter_pass=309, selected=80
cycle=08 epoch=0001/2000 train_force=0.038045 val_force=0.022787
cycle=08 epoch=0200/2000 train_force=0.0011078 val_force=0.028956
cycle=08 epoch=0400/2000 train_force=0.00076029 val_force=0.023048
cycle=08 epoch=0600/2000 train_force=0.0007006 val_force=0.022891
cycle=08 epoch=0800/2000 train_force=0.00065907 val_force=0.022297
cycle=08 epoch=1000/2000 train_force=0.00063689 val_force=0.022004
cycle=08 epoch=1200/2000 train_force=0.0006227 val_force=0.021768
cycle=08 epoch=1400/2000 train_force=0.00061237 val_force=0.021558
cycle=08 epoch=1600/2000 train_force=0.0005999 val_force=0.021291
cycle=08 epoch=1800/2000 train_force=0.00059348 val_force=0.021099
cycle=08 epoch=2000/2000 train_force=0.00058424 val_force=0.020986
Saved latent CSV: /Users/zyp/Documents/GitHub/PINN-seagras/myproject/runs/pinn_drag/20260722-134051__iterative_self_training/cycle_08_posttrain/latent_predictions.csv
Cycle 8 rolled back: validation RMSE=0.066225 > allowed 0.0636599

Best fixed-validation RMSE: 0.0624117
Final model: /Users/zyp/Documents/GitHub/PINN-seagras/myproject/runs/pinn_drag/20260722-134051__iterative_self_training/final_model.pt
