# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.250854849815368652e-01 0.000000000000000000e+00 5.205813795328140259e-03 1.669276040047407150e-03 1.862735807662829757e-04 9.172952771186828613e-01 0.000000000000000000e+00 5.205814726650714874e-03 1.669275457970798016e-03 1.862732024164870381e-04 4.213584959506988525e-01
1.000000000000000000e+03 4.801891627721488476e-04 2.494893180937651778e-12 5.578460218202963006e-07 6.399058293027337641e-06 5.587132363871205598e-06 3.350772603880614042e-04 2.589928271845565178e-12 5.582244853030715603e-07 6.399473022611346096e-06 5.587977739196503535e-06 1.432746648788452148e-03
2.000000000000000000e+03 1.028035039780661464e-04 3.122502256758252770e-11 4.757891858275797858e-09 1.304953514136286685e-07 6.021007692424973357e-08 1.128325020545162261e-04 2.974420709733749391e-11 4.751727011864659289e-09 1.304522925238416065e-07 6.024664855885930592e-08 2.865589456632733345e-03
3.000000000000000000e+03 8.152468944899737835e-05 2.050201786119032477e-08 8.289806174843761255e-08 2.370560636677510047e-08 2.262098774963305914e-07 9.797916573006659746e-05 2.049775105206208536e-08 8.290664510468559456e-08 2.371707807924394729e-08 2.260965032974127098e-07 1.910780207253992558e-03
4.000000000000000000e+03 5.983166556688956916e-05 3.377298440909726196e-11 7.822917869049206274e-10 3.014938343426365464e-08 6.765787929907673970e-09 7.096048648236319423e-05 3.534972314866990928e-11 7.665343915164157806e-10 3.014679705870548787e-08 6.782958195117316791e-09 2.336267381906509399e-03
5.000000000000000000e+03 1.115375896915793419e-03 3.469724561000475660e-06 4.121201709494926035e-05 1.078284458344569430e-05 5.431595127447508276e-05 1.066416152752935886e-03 3.469002876954618841e-06 4.121067831874825060e-05 1.078284458344569430e-05 5.431682802736759186e-05 6.861590594053268433e-02
6.000000000000000000e+03 7.606559665873646736e-05 1.438761501049157232e-06 7.686811898111045593e-08 1.797740054598762072e-07 5.492429409059695899e-07 6.627490802202373743e-05 1.438904519091011025e-06 7.672771573652426014e-08 1.796539805809516110e-07 5.492429409059695899e-07 1.567843183875083923e-02
7.000000000000000000e+03 8.684047497808933258e-05 5.236406650510616601e-07 1.911965455292374827e-06 9.822966973160873749e-08 2.323670287296408787e-06 9.211399446940049529e-05 5.237484970166406129e-07 1.911718072733492590e-06 9.825768643167975824e-08 2.323624812561320141e-06 2.051590755581855774e-02
8.000000000000000000e+03 2.428920379315968603e-05 3.325539843501701398e-11 1.740829702612245455e-11 5.244604750487269484e-09 1.209352618047887518e-10 2.809602665365673602e-05 3.377298440909726196e-11 1.816236050444786088e-11 5.257562385452274611e-09 1.180036068859635634e-10 1.783174928277730942e-03
9.000000000000000000e+03 2.182695970986969769e-05 1.827856266345406766e-08 6.517129236272012349e-08 1.665805493544780802e-09 1.647610048394199111e-07 2.639034755702596158e-05 1.825439532865402725e-08 6.526262552597472677e-08 1.662158410908887163e-09 1.648819960564651410e-07 2.218480920419096947e-03
1.000000000000000000e+04 1.643839459575247020e-05 1.740829702612245455e-13 4.821831822710009874e-11 1.807356264649229161e-09 4.376978779419005150e-10 2.100919300573877990e-05 3.916866830877552275e-13 4.576694578872775310e-11 1.808623473209536314e-09 4.389457686215791909e-10 1.482840278185904026e-03
