sample_index,config_index,config_name,velocity_index,U,Re,Ca,E,h,t,theta1_deg,theta2_deg,theta3_deg,D,H,L,H_soft,b,N_per_col,Cd_soft_prior,Cd_cyl_prior,F_exp,F_matlab_iter,F_matlab_pre,F_total_rigid,F_total_Ca,F_leaf_iter,Fcol_1,Fcol_2,Fcol_3,shielding_coef_matlab,angle_diff_deg_matlab
12,0,PVC_20_0,12,0.35,8750.0,7.5264,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.6986725389127457,1.5387027233432224,1.8792652989066156,2.1200347914174995,1.513900159878123,1.1837963095096418,0.5733868476514815,0.30520473092908035,0.30520473092908,0.7781207848244164,75.62415696488327
13,0,PVC_20_0,13,0.375,9375.0,8.64,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.9440239308891698,1.8784986299858724,2.218864407227224,2.433713408514987,1.6815805748117367,1.4829164037630016,0.8262952900029443,0.3283105568799629,0.32831055688009436,0.7271667879693575,65.4333575938715
14,0,PVC_20_0,14,0.4,10000.0,9.830400000000003,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,2.1254226965158165,2.1792223708384255,2.533271176640807,2.7690250336881634,1.855937771019836,1.7349242743145379,1.0331017479700935,0.35091126317225096,0.3509112631721936,0.693079377098121,58.615875419624174
15,0,PVC_20_0,15,0.425,10625.0,11.097599999999998,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,2.394437916897374,2.4571814564631116,2.836798146914093,3.125969666937028,2.036872067911241,1.9580473903396296,1.2118145922726373,0.3731163990334541,0.3731163990335383,0.6676045754145521,53.520915082910406
16,0,PVC_20_0,16,0.45,11250.0,12.441600000000001,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,2.681726953036037,2.720351210932834,3.1352287484878962,3.5045473082615812,2.2242936733676544,2.161005722389012,1.3709491462400663,0.3950282880743168,0.3950282880746289,0.647418892112417,49.4837784224834
17,0,PVC_20_0,17,0.475,11875.0,13.862400000000001,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,2.967823368030025,2.9734576020266053,3.431520520289392,3.9047579576618237,2.4181212014819526,2.3488995763431024,1.515420936791077,0.4167393197758759,0.4167393197761493,0.630828633114732,46.16572662294641
18,0,PVC_20_0,18,0.5,12500.0,15.360000000000001,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,3.0878709034320053,3.219661225143292,3.7274316129308325,4.326601615137754,2.618280479704991,2.5251110876487735,1.6484486463924508,0.4383312206279778,0.4383312206283445,0.6168425733743841,43.36851467487682
19,1,PVC_20_180,0,0.05,1250.0,0.15360000000000004,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.30792153391171007,0.035186788986880636,0.03907039041924908,0.04326601615137756,0.09012111068873976,0.026561788986880636,0.013280894493440321,1.301774735235718e-22,0.013280894493440314,0.9950531921969868,119.01063843939738
20,1,PVC_20_180,1,0.07500000000000001,1875.0,0.34560000000000013,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.17357100146872287,0.08085234074625322,0.0891856449244258,0.0973485363405995,0.1593408879271548,0.06144609074625321,0.030723045373126597,2.828999327966679e-22,0.030723045373126614,0.9886113001012865,117.7222600202573
21,1,PVC_20_180,2,0.1,2500.0,0.6144000000000002,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.3431977175664898,0.14806108313391717,0.16179451064191794,0.17306406460551024,0.23985733068261156,0.11356108313391716,0.05678054156695858,4.807653904573005e-22,0.05678054156695859,0.9791058358533394,115.82116717066789
